Página,XSS,SQLi,LFI
https://www.seguridad.unam.mx/,0,0,0
https://www.seguridad.unam.mx/,0,1,0
https://www.seguridad.unam.mx/csi,0,0,0
https://www.seguridad.unam.mx/incidentes,0,0,0
https://www.seguridad.unam.mx/estadisticas,0,0,0
https://www.seguridad.unam.mx/vulnerabilidades,0,0,0
https://www.seguridad.unam.mx/boletines,0,0,0
https://www.seguridad.unam.mx/documentos,0,0,0
https://www.seguridad.unam.mx/pentest,0,0,0
https://www.seguridad.unam.mx/divulgacion,0,0,0
https://www.seguridad.unam.mx/noticia,0,0,0
https://www.seguridad.unam.mx/ouch,0,0,0
https://www.seguridad.unam.mx/infografias,0,0,0
https://www.seguridad.unam.mx/consejos_unam_cert,0,0,0
https://www.seguridad.unam.mx/comic,0,0,0
https://www.seguridad.unam.mx/wannacry,0,0,0
https://www.seguridad.unam.mx/animaciones,0,0,0
https://www.seguridad.unam.mx/diccionario,0,0,0
https://www.seguridad.unam.mx/colaboracion,0,0,0
https://www.seguridad.unam.mx/servicios,0,0,0
https://www.seguridad.unam.mx/proyectos,0,0,0
https://www.seguridad.unam.mx/capacitacion,0,0,0
https://www.seguridad.unam.mx/capacitacion,0,0,0
https://www.seguridad.unam.mx/becarios,0,0,0
https://www.seguridad.unam.mx/eventos,0,0,0
https://www.seguridad.unam.mx/coloquio-becarios,0,0,0
https://www.seguridad.unam.mx/presentaciones,0,0,0
https://www.seguridad.unam.mx/nosotros,0,0,0
https://www.seguridad.unam.mx/acerca-de-la-csi,0,0,0
https://www.seguridad.unam.mx/mision-y-vision,0,0,0
https://www.seguridad.unam.mx/objetivos,0,0,0
https://www.seguridad.unam.mx/faq,0,0,0
https://www.seguridad.unam.mx/content/mapa-de-ubicacion,0,0,0
https://www.seguridad.unam.mx/sitemap,0,0,0
https://www.seguridad.unam.mx/content/creditos,0,0,0
https://www.seguridad.unam.mx/cdn-cgi/l/email-protection,0,0,0
https://www.seguridad.unam.mx/silver-sparrow-malware-detectado-en-casi-30000-macs,0,0,0
https://www.seguridad.unam.mx/eset-reporta-malware-que-tiene-como-objetivo-especifico-equipos-de-alto-rendimiento,0,0,0
https://www.seguridad.unam.mx/vulnerabilidades-en-solarwinds-orion-y-serv-u-ftp-permite-control-total-del-sistema,0,0,0
https://www.seguridad.unam.mx/emotet-equipo-liderado-por-alemania-deshabilita-el-malware-mas-peligroso-del-mundo,0,0,0
https://www.seguridad.unam.mx/el-malware-mas-peligroso-del-mundo-emotet-ha-sido-deshabilitado-tras-una-accion-global,0,0,0
https://www.seguridad.unam.mx/phishing-utiliza-alertas-de-reuniones-de-despido-para-robar-credenciales-en-zoom,0,0,0
https://www.seguridad.unam.mx/mantener-invitados-no-deseados-fuera-de-zoom,0,0,0
https://www.seguridad.unam.mx/recomendaciones-sobre-correo-no-deseado-o-fraudulento,0,0,0
https://www.seguridad.unam.mx/contenido-remoto-en-mensajes-de-correo,0,0,0
https://www.seguridad.unam.mx/tutorial-de-configuracion-segura-de-dispositivos-de-videograbacion,0,0,0
https://www.seguridad.unam.mx/borrado-seguro-de-informacion,0,0,0
https://www.seguridad.unam.mx/comprobacion-de-servicios-udp,0,0,0
https://www.seguridad.unam.mx/content/aspectos-b%C3%A1sicos-de-la-seguridad-en-aplicaciones-web,0,0,0
https://www.seguridad.unam.mx/content/aspectos-b%C3%A1sicos-de-la-seguridad-en-aplicaciones-web,0,0,0
